Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,qual_periods
Aaron Nola,PHI,-1.5199999999999996,-0.07000000000000006,-1,1.25,-6.100000000000001,-0.40000000000000036,-5.699999999999999,0.04600000000000001,0.2300000000000001,0.0040000000000000036,-29.5,97,50,11,4.08,2.1100000000000003,1.97,0.46999999999999975,0.5300000000000002,2
Adam Wainwright,STL,0.4900000000000002,0.19999999999999996,-0.1299999999999999,0.6100000000000001,2.799999999999997,1,1.8000000000000007,-0.067,-0.32999999999999985,-0.09299999999999997,27.5,-68,20,-1,-2.6799999999999997,0.8199999999999998,-3.5,-0.05999999999999961,-0.30000000000000027,2
Alek Manoah,TOR,-0.15000000000000036,0.1499999999999999,-0.18000000000000016,1.42,-0.3999999999999986,0.3000000000000007,-0.9000000000000004,-0.001999999999999974,0.020000000000000018,-0.05000000000000002,-8,34,53,11,1.35,2.0400000000000005,-0.6900000000000001,0.41999999999999993,0.14999999999999947,2
Alex Wood,SFG,2.1899999999999995,-1.82,15,-0.42000000000000004,8.8,-4.7,13.5,-0.04200000000000001,-0.39,-0.015000000000000013,24.900000000000006,-101,-51,-33,-4.01,-2.0200000000000005,-2.01,-1.38,-1.1400000000000001,2
Austin Gomber,COL,-2.9099999999999993,-0.79,0,-0.79,-4.9,-1.4000000000000004,-3.5,-0.044999999999999984,-0.43000000000000016,-0.067,10.299999999999997,-67,-20,-9,-3.1099999999999994,-0.8499999999999996,-2.2600000000000002,-0.34999999999999964,0.41999999999999993,2
Beau Brieske,DET,-0.79,2.25,-4.37,-0.10000000000000003,-3.299999999999999,5.799999999999999,-9.1,-0.021999999999999992,0.15999999999999992,-0.03200000000000003,-21.799999999999997,63,24,34,2.46,0.9200000000000004,1.55,1.3199999999999998,1.3800000000000003,2
Blake Snell,SDP,8.33,2.49,0.51,0.79,20.400000000000002,6.100000000000001,14.1,-0.08999999999999997,-0.1499999999999999,-0.019000000000000017,21.400000000000006,-48,-1,-32,-1.9000000000000004,-0.029999999999999805,-1.8699999999999999,-1.31,-1.02,2
Brad Keller,KCR,-1.13,-1.04,0.41999999999999993,-0.99,-0.6999999999999993,-1.8000000000000007,1.1000000000000014,-0.10599999999999998,-0.6199999999999999,-0.123,14.699999999999989,-64,-36,-7,-2.5,-1.37,-1.1300000000000001,-0.2799999999999998,-0.5300000000000002,2
Brady Singer,KCR,0.4299999999999997,0.18999999999999995,-0.020000000000000018,-0.72,2.700000000000003,1,1.6999999999999993,0.0040000000000000036,-0.020000000000000018,0.03600000000000003,-1.2000000000000028,-31,-36,-15,-1.2400000000000002,-1.3500000000000005,0.12,-0.6200000000000001,-0.27,2
Braxton Garrett,MIA,0.08999999999999986,-0.6499999999999999,1.1999999999999997,-0.26,5.600000000000001,-0.3000000000000007,5.9,-0.128,-0.8099999999999999,-0.14900000000000002,-6,-16,-17,-24,-0.6600000000000001,-0.69,0.04000000000000001,-0.9999999999999996,-0.79,2
Cal Quantrill,CLE,-0.8700000000000001,-0.8500000000000001,0.8300000000000001,0.040000000000000036,-2.6999999999999993,-2.3,-0.40000000000000036,0.02200000000000002,0.07000000000000006,0.016000000000000014,-18.200000000000003,18,0,-5,0.7000000000000002,0.009999999999999787,0.69,-0.20999999999999996,-0.17999999999999972,2
Carlos Carrasco,NYM,-1.959999999999999,1.1099999999999999,-2.3200000000000003,-1.83,-2.6999999999999993,3.5,-6.100000000000001,-0.013000000000000012,-0.040000000000000036,0.009000000000000008,5.599999999999994,-75,-53,0,-2.8999999999999995,-2.13,-0.77,-0.010000000000000231,0.48999999999999977,2
Carlos Rodon,SFG,-0.35999999999999943,0,-0.13999999999999968,-0.36,-3.8999999999999986,-0.5999999999999996,-3.3000000000000007,0.11399999999999999,0.48,0.16899999999999998,-13.700000000000003,36,-12,12,1.44,-0.43999999999999995,1.88,0.5,0.3500000000000001,2
Chad Kuhl,COL,-1.9699999999999998,-2.6100000000000003,0.4099999999999999,0.26,-2,-4.300000000000001,2.3,-0.07700000000000001,-0.7799999999999998,-0.12,8.599999999999994,-50,-1,-5,-2.3500000000000005,-0.04999999999999982,-2.3,-0.1800000000000006,-0.11000000000000032,2
Charlie Morton,ATL,-4.18,2.57,-7.45,-0.3400000000000001,-11.399999999999999,7.199999999999999,-18.7,0.023999999999999994,0.33999999999999997,0.0050000000000000044,3.0999999999999943,-7,23,51,-0.3200000000000003,0.9300000000000002,-1.25,2.1,2.0300000000000002,2
Chris Bassitt,NYM,-3.2799999999999994,-0.3600000000000001,-0.9000000000000004,0,-9.400000000000002,-1.1000000000000005,-8.399999999999999,-0.004999999999999977,-0.040000000000000036,-0.046999999999999986,28.300000000000004,-66,15,18,-2.5500000000000003,0.6099999999999999,-3.16,0.73,0.8599999999999999,2
Chris Flexen,SEA,-0.34999999999999964,-0.30000000000000027,0.040000000000000036,-0.82,-0.8000000000000007,-0.6999999999999993,0,-0.031000000000000028,-0.15999999999999992,-0.02100000000000002,5.200000000000003,-48,-28,-6,-1.7500000000000002,-1.0400000000000005,-0.71,-0.2400000000000002,-0.14000000000000057,2
Clayton Kershaw,LAD,1.6099999999999994,0.010000000000000231,0.6500000000000004,0.36,4.399999999999999,0.10000000000000053,4.300000000000001,-0.007000000000000006,-0.040000000000000036,0.0010000000000000009,-10.900000000000006,24,4,-10,0.98,0.18000000000000016,0.8,-0.4099999999999997,-0.48,2
Cole Irvin,OAK,-2.83,-1.95,7.83,-0.7300000000000001,-5.700000000000001,-5,-0.6999999999999993,-0.063,-0.52,-0.08499999999999996,-17.300000000000004,-15,-32,11,-0.54,-1.2100000000000004,0.67,0.41999999999999993,0.6099999999999994,2
Corbin Burnes,MIL,-1.5299999999999994,0.6600000000000001,-1.25,-1.08,-2.1000000000000014,2.5999999999999996,-4.600000000000001,-0.048000000000000015,-0.13,-0.03999999999999998,0.7000000000000028,-31,-26,5,-1.27,-1.0899999999999999,-0.18000000000000005,0.18000000000000016,0.48,2
Corey Kluber,TBR,-0.2600000000000007,0.5900000000000001,-2.34,-1.21,-0.6999999999999993,1.6000000000000005,-2.3000000000000007,0.022999999999999993,0.1399999999999999,0.061,-15.700000000000003,38,-44,-11,1.3800000000000003,-1.6300000000000001,3.01,-0.45999999999999996,0.029999999999999805,2
Cristian Javier,HOU,5.759999999999998,-0.29000000000000004,1.9499999999999997,1.88,17,-0.5,17.500000000000004,0.009999999999999981,0,0.028000000000000025,-3.5,49,28,-60,1.85,1.0700000000000003,0.78,-2.33,-1.82,2
Dakota Hudson,STL,-0.02999999999999936,-1.33,0.53,-0.35000000000000003,-0.3000000000000007,-3.8,3.4,0.025999999999999968,-0.030000000000000027,0.038000000000000034,0.30000000000001137,0,-13,10,0,-0.5300000000000002,0.53,0.41000000000000014,0.010000000000000675,2
Dane Dunning,TEX,1.7999999999999998,1.3499999999999996,0.030000000000000027,1.54,2.9000000000000004,2.0999999999999996,0.7999999999999998,0.057999999999999996,0.48,0.05499999999999999,-1,41,59,-11,1.58,2.2800000000000002,-0.71,-0.40000000000000036,-0.27000000000000046,2
Daniel Castano,MIA,-0.2600000000000007,-2.79,1.8,0.8099999999999999,0.5999999999999996,-6.4,6.8999999999999995,-0.025999999999999968,-0.4099999999999999,-0.05399999999999999,-23.599999999999994,29,0,-27,1.1099999999999999,0,1.1099999999999999,-1.1000000000000005,-0.9100000000000001,2
David Peterson,NYM,4.16,-0.48,1.65,1.2999999999999998,15,0,15,-0.129,-0.6199999999999999,-0.174,-0.8999999999999915,9,4,-39,0.33999999999999986,0.1800000000000006,0.16000000000000003,-1.62,-0.9300000000000002,2
Dean Kremer,BAL,2.6400000000000006,1.6399999999999997,-0.5099999999999998,0.11000000000000004,6.899999999999999,4.3,2.5,-0.033,0.020000000000000018,-0.013000000000000012,-3.4000000000000057,25,4,-6,0.9900000000000002,0.16000000000000014,0.8300000000000001,-0.2599999999999998,-0.25,2
Devin Smeltzer,MIN,3.790000000000001,-0.75,2.0700000000000003,0.41999999999999993,9.6,-2,11.7,0.04199999999999998,0.09999999999999987,0.08299999999999999,-5,41,-7,-17,1.5899999999999999,-0.28000000000000025,1.8699999999999997,-0.6499999999999995,-1.04,2
Dylan Bundy,MIN,1.5999999999999996,0.8999999999999999,-0.5800000000000001,-0.4,3.5,2.3,1.4000000000000004,0.066,0.38,0.10700000000000001,-13.299999999999997,31,-17,-18,1.2000000000000002,-0.6299999999999999,1.83,-0.6799999999999997,-0.45999999999999996,2
Dylan Cease,CHW,-2.58,0.34999999999999964,-1.1,1.14,-6.199999999999996,1.0999999999999996,-7.300000000000001,-0.049000000000000016,-0.17999999999999994,-0.16399999999999998,35,30,63,40,1.14,2.4699999999999998,-1.33,1.5399999999999998,0.77,2
Eric Lauer,MIL,4.98,-0.1599999999999997,1.7999999999999998,-1.92,14.399999999999999,0,14.299999999999999,-0.028000000000000025,-0.16999999999999993,0.07800000000000001,14.499999999999993,-82,-94,-32,-3.4200000000000004,-3.92,0.5,-1.29,-1.5500000000000003,2
Erick Fedde,WSN,-0.7599999999999998,1.4100000000000001,-0.6199999999999999,2.26,-3.6000000000000014,2.5,-6.2,0.05400000000000002,0.42000000000000015,-0.0040000000000000036,-0.09999999999999432,79,94,26,3.3399999999999994,3.91,-0.5700000000000001,1.0600000000000005,0.8799999999999999,2
Framber Valdez,HOU,-0.7000000000000011,0.48,-0.5299999999999998,-0.8099999999999998,-1.8000000000000007,1.3000000000000007,-3.1999999999999993,-0.0069999999999999785,0.010000000000000009,0.010000000000000009,14.299999999999997,-49,-23,5,-1.82,-0.8799999999999994,-0.94,0.17999999999999972,0.46999999999999975,2
George Kirby,SEA,1.370000000000001,0.5900000000000001,-1.33,0.3900000000000001,0.6000000000000014,1,-0.3000000000000007,0.08200000000000002,0.5399999999999998,0.11299999999999999,-10.5,85,17,-8,3.13,0.6500000000000004,2.48,-0.2999999999999998,-0.03000000000000025,2
German Marquez,COL,-0.5499999999999998,0.5500000000000003,-0.3700000000000001,1.1500000000000001,-2,1.1999999999999993,-3.2,0.007000000000000006,0.10000000000000009,-0.034,-16.200000000000003,62,43,11,2.8999999999999995,1.8600000000000003,1.0499999999999998,0.4399999999999995,0.46999999999999975,2
Gerrit Cole,NYY,-0.5400000000000009,0.13999999999999968,-0.31999999999999984,-0.49,-0.20000000000000284,0.8000000000000007,-0.8999999999999986,-0.035,-0.1499999999999999,-0.04500000000000001,-7,-7,-13,-13,-0.25,-0.54,0.2799999999999998,-0.48,0.06999999999999984,2
Graham Ashcraft,CIN,-3.4699999999999998,2.62,-8,-0.45999999999999985,-10.9,5.1,-16,0.11299999999999999,1.0000000000000002,0.10100000000000003,-4.299999999999997,82,30,74,3.54,1.3000000000000003,2.24,3.06,2.41,2
Hunter Greene,CIN,1.33,1.6600000000000001,-1.29,-0.8799999999999999,1,3.700000000000001,-2.6999999999999993,0.013000000000000012,0.24,0.06999999999999998,-12.5,31,-12,-10,1.37,-0.5499999999999998,1.9200000000000002,-0.4299999999999997,-0.3400000000000003,2
Ian Anderson,ATL,-2.1400000000000006,-0.8500000000000005,-0.16999999999999993,0.29,-7,-3.1999999999999993,-3.8000000000000007,0.045999999999999985,0.26,0.013000000000000012,-13.399999999999991,70,12,-1,2.95,0.4700000000000002,2.47,-0.019999999999999574,0.20000000000000018,2
Jackson Tetreault,WSN,1.23,3.8499999999999996,-0.6200000000000001,-1.5500000000000003,3.7,10.100000000000001,-6.4,-0.09,-0.1399999999999999,-0.05999999999999997,15.5,-30,-29,1,-1.2300000000000004,-1.2300000000000004,0.010000000000000009,0.07000000000000028,0.8499999999999996,2
James Kaprielian,OAK,-3.2800000000000002,-0.07000000000000028,-0.71,-1.7599999999999998,-5.799999999999999,1.8000000000000007,-7.6,-0.119,-0.5899999999999999,-0.132,-1.8000000000000114,-69,-61,12,-2.57,-2.2800000000000002,-0.29000000000000004,0.4500000000000002,1.0599999999999996,2
Jameson Taillon,NYY,-0.1899999999999995,-0.010000000000000009,-0.08000000000000007,1.1600000000000001,-0.1999999999999993,0,-0.3000000000000007,-0.044999999999999984,-0.21999999999999997,-0.08999999999999997,-16.900000000000006,64,45,18,2.4700000000000006,1.7699999999999996,0.69,0.6900000000000004,0.14000000000000012,2
Jason Alexander,MIL,-0.54,1.0699999999999998,-0.42000000000000004,1.82,-1.9000000000000004,1.8999999999999986,-3.8,-0.03400000000000003,0.040000000000000036,-0.08199999999999996,-28.1,116,77,12,4.82,3.21,1.6099999999999999,0.5,0.1900000000000004,2
Joe Musgrove,SDP,0.9400000000000013,0.4800000000000002,-0.5,-0.47,1.6000000000000014,1.1000000000000005,0.5,-0.014000000000000012,0,0.0050000000000000044,-3,0,-11,29,0,-0.41999999999999993,0.42,1.2000000000000002,0.6200000000000001,2
Joe Ryan,MIN,-2.5299999999999994,0.8399999999999999,-2.67,-1.2599999999999998,-6.299999999999999,2.3999999999999995,-8.700000000000001,-0.06600000000000003,-0.22999999999999998,-0.07799999999999999,10.299999999999997,-77,-18,40,-2.96,-0.7000000000000002,-2.25,1.54,1.5899999999999999,2
Johnny Cueto,CHW,-1.8699999999999992,0.8400000000000001,-1.9500000000000002,-0.16000000000000014,-6.199999999999999,2,-8.3,0.022999999999999993,0.19999999999999996,0.017000000000000015,17,-37,12,9,-1.3900000000000001,0.47000000000000064,-1.8599999999999999,0.3600000000000003,0.8500000000000001,2
Jon Gray,TEX,2.389999999999999,-1.6,5,1.06,7.799999999999997,-4.199999999999999,12,0.016000000000000014,-0.10000000000000009,0.01799999999999996,2.0999999999999943,-14,6,-38,-0.52,0.20999999999999996,-0.74,-1.4500000000000002,-1.33,2
Jon Heasley,KCR,-2.45,0.8199999999999998,-1.67,0,-10.099999999999998,0.39999999999999947,-10.700000000000001,0.148,0.95,0.162,-41.9,177,26,46,6.960000000000001,0.9500000000000002,6,1.7700000000000005,1.4099999999999997,2
Jordan Lyles,BAL,0.35999999999999943,-2.6100000000000003,2.5,-0.5900000000000001,4,-5.3,9.3,-0.035,-0.53,-0.02300000000000002,17.5,-95,-48,-44,-3.7500000000000004,-1.9899999999999998,-1.75,-1.6800000000000006,-1.25,2
Jordan Montgomery,NYY,3.3099999999999996,1.1800000000000002,-0.6499999999999999,-0.030000000000000027,7.899999999999999,2.8,4.9,-0.02300000000000002,0.07000000000000006,0.0020000000000000018,-14.200000000000003,34,-11,-9,1.3100000000000005,-0.43999999999999995,1.7599999999999998,-0.3799999999999999,-0.33000000000000007,2
Jose Berrios,TOR,3.8999999999999995,1.34,-2.4000000000000004,-0.54,6.300000000000001,2.7,3.6000000000000014,0.07,0.5800000000000001,0.153,-7.6000000000000085,42,-27,-6,1.67,-1.0499999999999998,2.7199999999999998,-0.23999999999999977,-0.3799999999999999,2
Jose Quintana,PIT,0.8300000000000001,0.06000000000000005,0.25,-2.29,2.099999999999998,0.20000000000000018,2,-0.04199999999999998,-0.16999999999999993,0.008999999999999952,-2.700000000000003,-60,-84,-5,-2.43,-3.4699999999999998,1.04,-0.20000000000000018,-0.20999999999999996,2
Jose Urquidy,HOU,-1.04,0.2400000000000002,-0.5399999999999998,-0.9100000000000001,0.20000000000000284,2.1999999999999993,-2,-0.141,-0.62,-0.16499999999999998,13.899999999999991,-60,-27,9,-2.27,-1.0099999999999998,-1.25,0.34999999999999964,0.3799999999999999,2
Josh Winckowski,BOS,2.12,2.6500000000000004,-1.37,1.59,4.400000000000002,6.4,-2.000000000000001,-0.020000000000000018,0.22999999999999998,-0.043999999999999984,-14.299999999999997,79,71,20,3.17,2.7,0.47000000000000003,0.7600000000000002,0.7999999999999998,2
Josiah Gray,WSN,3.460000000000001,0.7400000000000002,0.20000000000000018,2.74,6,1.2000000000000002,4.800000000000001,0.12599999999999997,0.67,0.146,-22.299999999999997,143,78,-9,6.02,3.27,2.75,-0.3799999999999999,-0.43000000000000016,2
JT Brubaker,PIT,1.9900000000000002,1.9100000000000001,-0.96,-0.37,6.5,5.4,1.1000000000000014,-0.049000000000000016,-0.06999999999999984,-0.020999999999999963,-7.900000000000006,14,-17,-1,0.54,-0.71,1.25,-0.04999999999999982,0.14000000000000012,2
Julio Urias,LAD,-1.0599999999999987,-0.6700000000000004,0.8600000000000003,0.19000000000000017,-6.700000000000003,-2.7,-4,0.135,0.51,0.18300000000000002,-30.200000000000003,113,23,6,4.54,0.9700000000000002,3.57,0.23999999999999977,0.16000000000000014,2
Justin Steele,CHC,3.7,1.8900000000000001,-0.25,-1.09,9.9,5.000000000000001,4.800000000000001,-0.036000000000000004,-0.010000000000000009,0.02899999999999997,0.4000000000000057,-18,-35,-1,-0.73,-1.4300000000000002,0.7000000000000001,-0.020000000000000018,-0.07000000000000028,2
